experiment,bootstrap_type,dataset,preprocessing,classifier,h_mean
fairboost,default,adult,OptimPreproc,Logistic Regression,"[0.43995001376266785, 0.580260050330356, 0.4352414403911105, 0.567318461039355, 0.4721641959062928, 0.5684379037085022, 0.5838972167098532, 0.4450437568843401, 0.4655245680510099, 0.4536119007575814]"
fairboost,default,adult,OptimPreproc,Random Forest,"[0.6032408247926629, 0.5214607861514928, 0.3877912882887166, 0.5421393779825762, 0.5631301213507853, 0.5435009506388209, 0.5426723419145381, 0.5123077889716772, 0.622637005293666, 0.40917204601575585]"
fairboost,default,adult,LFR,Logistic Regression,"[0.547141173052435, 0.5229612190167138, 0.5174969118120339, 0.5406188003597168, 0.5365136759279863, 0.5412600669973188, 0.5422755194975076, 0.5164229848648649, 0.49868723958155864, 0.5971870120428017]"
fairboost,default,adult,LFR,Random Forest,"[0.5311013493725053, 0.5229612190167138, 0.5283117668238777, 0.5406188003597168, 0.5441313802983647, 0.5292622497519656, 0.5543863357550256, 0.5164229848648649, 0.5096700537459165, 0.5263332518298424]"
fairboost,default,adult,Reweighing,Logistic Regression,"[0.5751000563440254, 0.5646795996369746, 0.3927255042163927, 0.5742735528088079, 0.585013436992287, 0.57406838463226, 0.5638552125029077, 0.5566561285202135, 0.5812122077367596, 0.5511222151025497]"
fairboost,default,adult,Reweighing,Random Forest,"[0.5796088415694234, 0.5241802825613601, 0.5503745552752344, 0.5584807188036828, 0.4075913778815831, 0.5675108137544272, 0.5408231364591546, 0.5756177523006087, 0.5815301545493065, 0.5771776407014092]"
fairboost,default,adult,"LFR,OptimPreproc",Logistic Regression,"[0.5506159951072588, 0.46076564376862, 0.4781392590365746, 0.5426012672352135, 0.4647983880290968, 0.4782519307183942, 0.548332572112465, 0.5237241765876355, 0.5100345292432097, 0.4656330275391192]"
fairboost,default,adult,"LFR,OptimPreproc",Random Forest,"[0.5299756956198259, 0.4917968637729447, 0.45917859770550146, 0.46667685181448637, 0.458112009957814, 0.3550838407195222, 0.5000735545557922, 0.45926088790423697, 0.48373662422695696, 0.5197277377514546]"
fairboost,default,adult,"OptimPreproc,Reweighing",Logistic Regression,"[0.4395209755801714, 0.5592143444608376, 0.402914366644795, 0.5593265506009076, 0.4385137496405204, 0.5315210928681152, 0.5473114463397072, 0.4199967372076781, 0.4638428916676656, 0.4526409856576467]"
fairboost,default,adult,"OptimPreproc,Reweighing",Random Forest,"[0.4703203042343304, 0.44633468954726274, 0.2370132327293946, 0.33205383989984166, 0.4688678353299739, 0.293297161321526, 0.2891461056850085, 0.4583035318316972, 0.5388310163075601, 0.4468805548980262]"
fairboost,default,adult,"LFR,Reweighing",Logistic Regression,"[0.547141173052435, 0.5229612190167138, 0.5174969118120339, 0.5406188003597168, 0.464947087582866, 0.5389838716048639, 0.5422755194975076, 0.5164229848648649, 0.49868723958155864, 0.5775911226699748]"
fairboost,default,adult,"LFR,Reweighing",Random Forest,"[0.5485399787659807, 0.5255614130273146, 0.44269525083385325, 0.5520777684724537, 0.5396418644542078, 0.5389838716048639, 0.5321647596542112, 0.5202967964728844, 0.4768002650431764, 0.5460513864662395]"
fairboost,default,adult,"LFR,OptimPreproc,Reweighing",Logistic Regression,"[0.5447992077152694, 0.4578494698902547, 0.44974006604250816, 0.546172544496502, 0.4649732782353906, 0.4820650870673727, 0.5454220589094854, 0.44057271059079084, 0.5144008111805232, 0.4651292696627589]"
fairboost,default,adult,"LFR,OptimPreproc,Reweighing",Random Forest,"[0.44513502455651205, 0.4179338223516664, 0.44840507301965715, 0.47309691228010997, 0.4780409517847246, 0.4677186043288092, 0.3365023238782423, 0.46285756066991074, 0.49847196343693806, 0.4678308803534696]"
